tree_id,collection_name,species,variety,rootstock,place_name
B4FE4BB2-9674-4D4E-9CA2-BA100B3C7F3E,,Chestnut,,,
A8FD220D-E5AA-4B29-B75F-DE9EEBA7FAEA,,Apricot,,,
D1F007B8-C28A-4522-9226-C8063BC4E1E2,,Apricot,,,
BC197F1F-E03F-49C8-8A91-105D7E0DF790,,Apricot,,,
08D5B623-91CD-49A1-8429-7867B4CEE31C,,Apricot,,,
25DBC57D-D620-4214-BC1B-F290C1512D15,,Apricot,Golden Glow,,
0490D2FE-1EC8-4B44-9925-F4FE61EBF980,,Apricot,,,
75E4487F-7840-4EBA-9993-7A8D588B3CAF,,Walnut,,,
393264E4-124E-4F8E-8EE1-91D6B2440C68,,Apple,Egremont Russet,M25,
C05D1CCC-5670-4F5E-B0FE-88520F4275B9,,Apple,Ashmead’s Kernel,M25,
D3DBC16C-D48A-406A-8AAB-7E3FE0A068EE,,Apple,Dabinett,M25,
4D2C22A1-D990-4623-9CD0-C534035BB425,,Damson,,,
995DFAD3-2966-4920-9D36-94AFE3C3BE63,Far Paddock Orchard,Apple,Red Foxwhelp,M25,
C3147779-A417-44BF-ADC8-60EE0D5DA369,Far Paddock Orchard,Apple,Medaille D’Or,M25,
BE4F73F3-B94E-4B36-94EC-01A061BBF9A9,Far Paddock Orchard,Damson,Shropshire Prune,Brompton,
1B833451-55DE-4F60-AB31-6517EF1FE4E9,Far Paddock Orchard,Damson,Blue Violet,Adaptabil,
B80E049A-1E2F-4581-8C7C-BF8A97F6710C,Far Paddock Orchard,Damson,King of the Damsons,St Julien A,
F6080831-3A90-4168-AB12-49FF72A0B100,Far Paddock Orchard,Damson,Blue Violet,Adaptabil,
C4982B95-7507-4907-976B-62CE5229A0F2,Far Paddock Orchard,Damson,Fairleigh,,
6C6756E3-26A1-4171-98B5-4A45A72C952D,Far Paddock Orchard,Damson,Merryweather,St Julien A,
D1237BD9-847D-42BA-BC73-BB4EC1D2F0F7,Far Paddock Orchard,Plum,Oullins Golden Gage,,
C0736A49-FF0F-4B01-8592-9427E4CEB018,Far Paddock Orchard,Mirabelle,Mirabelle de Nancy,St Julien A,
C3DC3661-06A9-4D7D-B483-CFC412C4C540,Far Paddock Orchard,Mirabelle,Mirabelle de Nancy,St Julien A,
3E50596A-72C3-4254-8719-B39103B0B966,Pond Orchard,Apricot,Seedling,,
8B23653E-A59C-4104-B7D5-F5C6C46DD4FE,Pond Orchard,Apple,Warner’s King,,
EE10BD7F-06D9-40B0-83AD-9D38257032A0,Pond Orchard,Apple,Newtons Wonder,,
52E0DE9E-86D2-478B-898F-00E949023ABD,Pond Orchard,Apple,Scotch Bridget,,
6D3D2D73-D548-4B91-9F21-115BAF52F2F6,Pond Orchard,Apple,King’s Acre Pippin,,
0892C0AD-5D62-4EA8-9DD3-E2F9505C0DF5,Pond Orchard,Apple,Lord Derby,,
B91938DB-6CA7-4FD3-B5B9-8BEA21C09702,Pond Orchard,Apple,Grenadier,,
370DACE2-8C55-4231-A8B6-1B9CE79963F0,Pond Orchard,Medlar,,,
6B396453-721B-4EC5-9330-9EAA67C830B3,Pond Orchard,Apple,Bramley,,
FD2B679A-2F4E-498D-98C7-771DFA9F998D,Pond Orchard,Apricot,Seedling,,
9382806B-A448-4135-9CA4-74BCCB03C278,,Damson,,,
AAACA4A1-7FE7-45B4-ABBA-BB3BF6770DC0,,Damson,,,
81D43F55-F577-43FF-9829-F55EC8937C08,,Damson,,,
123B6418-2750-483F-AA47-2913B2FD9759,Far Paddock Orchard,Apple,Stoke Red,,
7425BC3E-75EC-48DD-B630-96A3D7D91FEE,Far Paddock Orchard,Apple,Porter’s Perfection,,
85066FA4-2922-43F9-B49A-781AAFE1835E,Far Paddock Orchard,Apple,Kingston Black,MM106,
C1352AA4-FFCF-4570-815F-EC95473ACDC8,Far Paddock Orchard,Apple,Dabinett,M25,
480D97C0-6954-4B72-ADEB-EBC4A13A0E64,Far Paddock Orchard,Apple,Cox’s Orange Pippin,M25,
CFE6AD77-5ED2-427E-9979-036E5748634C,Far Paddock Orchard,Apple,Cox’s Orange Pippin,M25,
FC2DFAD3-75A7-4811-89FD-90C014210552,Far Paddock Orchard,Apple,Benheim Orange,M25,
36942ABD-FF24-497A-8996-E3FD2F445031,Far Paddock Orchard,Plum,Old Green Gage,,
A31079E7-34A9-4A20-853D-8FC607800EF3,Far Paddock Orchard,Plum,Victoria,St Julien A,
569F91AC-3683-4DCC-ADC1-7079907B891A,Far Paddock Orchard,Plum,Cambridge Gage,St Julien A,
116F35AB-7FAD-40D3-86E3-64551F64A3EA,Far Paddock Orchard,Plum,Cambridge Gage,St Julien A,
7E63893C-6B3F-4570-8223-E0C4CF812AC3,Far Paddock Orchard,Plum,Cambridge Gage,St Julien A,
C75F4A2D-D8D2-476F-86ED-1F9787A4AEE1,Far Paddock Orchard,Plum,Cambridge Gage,St Julien A,
14E3C655-0E17-4424-BCBE-08888A38663F,Far Paddock Orchard,Plum,Denbigh,St Julien A,
B5A22AF3-BE15-4C1D-9851-4198D0F31215,Far Paddock Orchard,Apricot,Bergeron,Wavit,
3157CC93-90FB-48B6-B909-5FF13931EC8A,Far Paddock Orchard,Apple,Pomeroy of Herefordshire,M25,
18321059-3C87-4C80-8F6C-73E1784D4B2D,Far Paddock Orchard,Apple,Cox’s Orange Pippin,M25,
B4EDF4C5-0D82-473D-AE46-87A0B5146F4F,Far Paddock Orchard,Apple,Honeycrisp,MM106,
3EAE73D1-70FE-4277-8E64-8E3E1446FA99,Far Paddock Orchard,Apple,Kingston Black,MM106,
1DA762BC-B430-4BB2-8ABD-C2B0586C07EE,Far Paddock Orchard,Apple,Kingston Black,MM106,
559926A9-DCE9-4F80-B23A-9F326C02DBE5,Far Paddock Orchard,Apple,Harry Masters Jersey,,
09733171-D53B-4328-B88D-9A092DA78C53,Far Paddock Orchard,Apple,Yarlington Mill,M25,
B3A268D6-B502-4AA9-970D-77B96264EF2B,Far Paddock Orchard,Apple,Yarlington Mill,M25,
B6EBE139-3F1D-445C-A3DE-3A04E741C6DB,Far Paddock Orchard,Apple,Golden Delicious,MM106,
A1C8D3BB-1639-4F4D-85B0-D5D70ACDD225,Far Paddock Orchard,Apple,Charles Ross,M25,
185A997B-1CAD-4B48-A3E7-005DAD45E0F8,Far Paddock Orchard,Pear,Beurre Hardy,,
95EEFECF-0FC3-4254-AB85-79667FD785C8,Far Paddock Orchard,Pear,Beurre Superfin,,
FC558215-FE1C-4862-90F2-D967B4EEFA15,Far Paddock Orchard,Cherry,Lapins,,
6FD22B27-9AF9-4DE4-8CB5-44F3D7558618,Far Paddock Orchard,Cherry,Morello,,
B697818D-838B-475A-98ED-5C9BE7ECDCAF,Far Paddock Orchard,Cherry,Lapins,,
290A8655-B1FD-4A21-AD2F-F6AC60DC96A5,Far Paddock Orchard,Cherry,Morello,,
71B59529-0E9B-4DB1-BAB7-D9313DD3AD59,Far Paddock Orchard,Pear,Williams,,
74FE6492-93B0-4371-93D8-50FD90919BE4,Far Paddock Orchard,Pear,Doyenne du Comice,,
5E668569-B829-4F35-B9F9-CDEC97910422,Far Paddock Orchard,Apple,Ten Commandments,M25,
724C8116-CB72-4706-ACDF-3D9FD9874A2D,Far Paddock Orchard,Apple,Egremont Russet,M25,
9EAAB305-9006-40E1-828E-6070AB081E60,Far Paddock Orchard,Apple,Egremont Russet,M25,
38085455-8B05-466B-A63A-2469A67A5800,,Chestnut,,,
6E67B96E-51BF-4095-A433-D58ECA94A311,,Chestnut,,,
F7AEA586-5202-46CA-803E-32C1570ABF24,,Chestnut,,,
E92E3610-5B00-40BF-BBF4-4D1D00E49CA7,,Hazel,,,
6368D97C-D5C1-4357-B5AD-5E4373F99F92,,Hazel,,,
BE7D6443-7BE1-48C1-AEFC-F986089DF27A,,Hazel,Tonda di Giffoni,,
2C49EDD3-6463-41FC-A241-D644F867F1D7,,Hazel,Tonda di Giffoni,,
3B732DAB-3912-4E25-B0F5-9F2762C01CFB,,Hazel,,,
A51234DB-650C-4F8B-B1AF-C709BA258B9B,Clarence’s Cherry Orchard,Cherry,Black Elton,,
C3190582-20DC-4E91-8B5A-33A61C434115,Clarence’s Cherry Orchard,Cherry,Albalu,,
9DB46963-CF6F-4233-B57F-3B1B6F88FF36,Clarence’s Cherry Orchard,Cherry,Black Elton,,
56CB983A-F3B1-4AC8-B861-3980CAB187E9,Clarence’s Cherry Orchard,Cherry,Black Elton,,
CF64EC03-9E1A-4EC8-91FA-2F7E34961449,Clarence’s Cherry Orchard,Cherry,Black Elton,,
E8BF4962-423F-4416-A51D-290B1E7605B3,Clarence’s Cherry Orchard,Cherry,Black Elton,,
69CBABD5-0CE2-423B-8950-098F0111B3E2,Clarence’s Cherry Orchard,Cherry,Albalu,,
EEC14FDC-F933-4AD8-B5D2-1C0041501374,Clarence’s Cherry Orchard,Cherry,Black Elton,,
F35A45F7-0663-4BBF-AF03-E678C4CD4CDD,Clarence’s Cherry Orchard,Cherry,Black Elton,,
E307B5E0-A5AD-445C-A1DC-D5F6774308E7,Clarence’s Cherry Orchard,Cherry,Black Elton,,
A0C50ECB-54E7-4C9D-8FE8-93CB81E86DCB,Far Paddock Orchard,Apple,Sweeny’s Nonpareil,M25,
98EB10D8-4E74-4365-A80F-E0696891241D,Far Paddock Orchard,Apple,Gascoyne’s Scarlet,M25,
5DFAD2AC-96BA-4E9E-89DB-C8C9703AF6A7,Far Paddock Orchard,Apple,Bringewood Pippin,M25,
1F7EF86C-05E1-4C08-8C30-2E225D65C137,Far Paddock Orchard,Apple,Adams Pearmain,M25,
E8ADFF64-C512-4E06-9894-42566657625E,Far Paddock Orchard,Apple,Shropshire Lady’s Finger,M25,
94C29C48-A5D6-43D0-B4AB-390A8E758648,Far Paddock Orchard,Cherry,Black Oliver,,
B8A8DFFC-8DBC-4669-AB4B-B8129805F969,Far Paddock Orchard,Cherry,Black Oliver,F.12.1,
BA9B9C37-76E9-482B-BB7D-89F9ED237115,Far Paddock Orchard,Pear,Williams,,
50EE83C8-E583-4FCE-A57A-08C3CDD77199,Far Paddock Orchard,Apple,Puckrupp Pippin,M25,
633159FC-359C-489F-BFC6-49BA0469CEBF,Far Paddock Orchard,Apple,Lord of Lambourne,M25,
2D6B7299-C388-4917-86DE-77CC7D103804,Far Paddock Orchard,Apple,Ashmead’s Kernel,M25,
FA12A2A4-B263-45FE-87C3-271A0D82C031,Far Paddock Orchard,Apple,Devonshire Quarrendon,,
A0920084-054F-469A-8E3E-59F161594F72,Far Paddock Orchard,Apple,Pitmaston Pine Apple,,
27370F10-7326-4908-818E-A7F42440F83B,Far Paddock Orchard,Pear,Yellow Huffcap,,
40626831-0850-4CEE-9E58-EC6E3D9FA4F2,Far Paddock Orchard,Cherry Plum,Golden Sphere,,
6B8F15D5-809A-45BA-8DB2-D1B368C0E4EB,Far Paddock Orchard,Cherry Plum,Countess,,
BA9C77CB-4400-4B69-8383-FA70589D212C,,Cherry,Black Oliver,,
